title	authors	year	source	decision	criterion	notes	reviewer
Ask-before-Plan: Proactive Language Agents for Real-World Planning	Xuan Zhang, Yang Deng, Zifeng Ren, See-Kiong Ng, Tat-Seng Chua	2024	database_pool	exclude	EC2		researcher
AgentTTS: Large Language Model Agent for Test-time Compute-optimal Scaling Strategy in Complex Tasks	Fali Wang, Hui Liu, Zhenwei Dai, Jingying Zeng, Zhiwei Zhang, Zongyu Wu, Chen Luo, Zhen Li, Xianfeng Tang, Qi He, Suhang Wang	2025	database_pool	exclude	EC1		researcher
Automated Testing of COBOL to Java Transformation	Sandeep Hans, Atul Kumar, Toshikai Yasue, Kouichi Ono, Saravanan Krishnan, Devika Sondhi, Fumiko Satoh, Gerald Mitchell, Sachin Kumar, Diptikalyan Saha	2025	database_pool	exclude	EC1		researcher
BiasBusters: Uncovering and Mitigating Tool Selection Bias in Large Language Models	Thierry Blankenstein, Jialin Yu, Zixuan Li, Vassilis Plachouras, Sunando Sengupta, Philip Torr, Yarin Gal, Alasdair Paren, Adel Bibi	2025	database_pool	exclude	EC1		researcher
InfiniteWeb: Scalable Web Environment Synthesis for GUI Agent Training	Ziyun Zhang, Zezhou Wang, Xiaoyi Zhang, Zongyu Guo, Jiahao Li, Bin Li, Yan Lu	2026	database_pool	exclude	EC1		researcher
CoRNStack: High-Quality Contrastive Data for Better Code Retrieval and Reranking	Tarun Suresh, R. Reddy, Yifei Xu, Zach Nussbaum, Andriy Mulyar, Brandon Duderstadt, Heng Ji	2024	database_pool	exclude	EC1		researcher
SocialVeil: Probing Social Intelligence of Language Agents under Communication Barriers	Keyang Xuan, Pengda Wang, Chongrui Ye, Haofei Yu, Tal August, Jiaxuan You	2026	database_pool	exclude	EC2		researcher
Rethinking the Value of Agent-Generated Tests for LLM-Based Software Engineering Agents	Zhi Chen, Zhensu Sun, Yuling Shi, Chao Peng, Xiaodong Gu, David Lo, Lingxiao Jiang	2026	database_pool	exclude	EC1		researcher
SWE-Synth: Synthesizing Verifiable Bug-Fix Data to Enable Large Language Models in Resolving Real-World Bugs	Minh V. T. Pham, Huy N. Phan, Hoang N. Phan, Cuong Le Chi, Tien N. Nguyen, Nghi D. Q. Bui	2025	database_pool	exclude	EC1		researcher
"CAMEL: Communicative Agents for ""Mind"" Exploration of Large Language Model Society"	G. Li, Hasan Hammoud, Hani Itani, Dmitrii Khizbullin, Bernard Ghanem	2023	database_pool	exclude	EC1		researcher
Search-R2: Enhancing Search-Integrated Reasoning via Actor-Refiner Collaboration	Bowei He, Minda Hu, Zenan Xu, Hongru Wang, Licheng Zong, Yankai Chen, Chen Ma, Xue Liu, Pluto Zhou, Irwin King	2026	database_pool	exclude	EC2		researcher
ChoiceMates: Supporting Unfamiliar Online Decision-Making with Multi-Agent Conversational Interactions	Jeongeon Park, Bryan Min, Kihoon Son, Jean Y. Song, Xiaojuan Ma, Juho Kim	2023	database_pool	exclude	EC2		researcher
MechPert: Mechanistic Consensus as an Inductive Bias for Unseen Perturbation Prediction	Marc Boubnovski Martell, Josefa Lia Stoisser, Lawrence Phillips, Aditya Misra, Robert Kitchen, Jesper Ferkinghoff-Borg, Jialin Yu, Philip Torr, Kaspar Märten	2026	database_pool	exclude	EC2		researcher
TimeArena: Shaping Efficient Multitasking Language Agents in a Time-Aware Simulation	Yikai Zhang, Siyu Yuan, Caiyu Hu, Kyle Richardson, Yanghua Xiao, Jiangjie Chen	2024	database_pool	exclude	EC2		researcher
BackdoorAgent: A Unified Framework for Backdoor Attacks on LLM-based Agents	Yunhao Feng, Yige Li, Yutao Wu, Yingshui Tan, Yanming Guo, Yifan Ding, Kun Zhai, Xingjun Ma, Yu-Gang Jiang	2026	database_pool	exclude	EC1		researcher
Code2Math: Can Your Code Agent Effectively Evolve Math Problems Through Exploration?	Dadi Guo, Yuejin Xie, Qingyu Liu, Jiayu Liu, Zhiyuan Fan, Qihan Ren, Shuai Shao, Tianyi Zhou, Dongrui Liu, Yi R. Fung	2026	database_pool	exclude	EC1		researcher
EmoDebt: Bayesian-Optimized Emotional Intelligence for Strategic Agent-to-Agent Debt Recovery	Yunbo Long, Yuhan Liu, Liming Xu, Alexandra Brintrup	2025	database_pool	exclude	EC2		researcher
Enhancing Cloud Network Resilience via a Robust LLM-Empowered Multi-Agent Reinforcement Learning Framework	Yixiao Peng, Hao Hu, Feiyang Li, Xinye Cao, Yingchang Jiang, Jipeng Tang, Guoshun Nan, Yuling Liu	2026	database_pool	exclude	EC2		researcher
Retrospex: Language Agent Meets Offline Reinforcement Learning Critic	Yufei Xiang, Yiqun Shen, Yeqin Zhang, Cam-Tu Nguyen	2025	database_pool	exclude	EC2		researcher
Long Code Arena: a Set of Benchmarks for Long-Context Code Models	Egor Bogomolov, Aleksandra Eliseeva, Timur Galimzyanov, Evgeniy Glukhov, Anton Shapkin, Maria Tigina, Yaroslav Golubev, Alexander Kovrigin, A. Deursen, M. Izadi, T. Bryksin	2024	database_pool	exclude	EC1		researcher
MPMA: Preference Manipulation Attack Against Model Context Protocol	Zihan Wang, Rui Zhang, Yu Liu, Wenshu Fan, Wenbo Jiang, Qingchuan Zhao, Hongwei Li, Guowen Xu	2025	database_pool	exclude	EC1		researcher
Mind the Gap: The Divergence Between Human and LLM-Generated Tasks	Yi-Long Lu, Jiajun Song, Chunhui Zhang, Wei Wang	2025	database_pool	exclude	EC2		researcher
The Yerkes-Dodson Curve for AI Agents: Emergent Cooperation Under Environmental Pressure in Multi-Agent LLM Simulations	Ivan Pasichnyk	2026	database_pool	exclude	EC2		researcher
SMoA: Improving Multi-agent Large Language Models with Sparse Mixture-of-Agents	Dawei Li, Zhen Tan, Peijia Qian, Yifan Li, Kumar Satvik Chaudhary, Lijie Hu, Jiayi Shen	2024	database_pool	exclude	EC1		researcher
Study on Adaptive Optimisation Method for AI Generated Code Performance Based on Reinforcement Learning	Bai Z.	2025	database_pool	exclude	EC1		researcher
A quantum semantic framework for natural language processing	Christopher J. Agostino, Quan Le Thien, Molly Apsel, Denizhan Pak, Elina Lesyk, Ashabari Majumdar	2025	database_pool	exclude	EC1		researcher
Unlocking the Wisdom of Large Language Models: An Introduction to The Path to Artificial General Intelligence	Edward Y. Chang	2024	database_pool	exclude	EC2		researcher
VibeTensor: System Software for Deep Learning, Fully Generated by AI Agents	Bing Xu, Terry Chen, Fengzhe Zhou, Tianqi Chen, Yangqing Jia, Vinod Grover, Haicheng Wu, Wei Liu, Craig Wittenbrink, Wen-mei Hwu, Roger Bringmann, Ming-Yu Liu, Luis Ceze, Michael Lightstone, Humphrey Shi	2026	database_pool	exclude	EC1		researcher
ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs	Justin Chih-Yao Chen, Swarnadeep Saha, Mohit Bansal	2023	database_pool	exclude	EC1		researcher
WebATLAS: An LLM Agent with Experience-Driven Memory and Action Simulation	Jiali Cheng, Anjishnu Kumar, Roshan Lal, Rishi Rajasekaran, Hani Ramezani, Omar Zia Khan, Oleg Rokhlenko, Sunny Chiu-Webster, Gang Hua, Hadi Amiri	2025	database_pool	exclude	EC2		researcher
KP-Agent: Keyword Pruning in Sponsored Search Advertising via LLM-Powered Contextual Bandits	Hou-Wan Long, Yicheng Song, Zidong Wang, Tianshu Sun	2025	database_pool	exclude	EC2		researcher
Large Language Model Powered Intelligent Urban Agents: Concepts, Capabilities, and Applications	Jindong Han, Yansong Ning, Zirui Yuan, Hang Ni, Fan Liu, Tengfei Lyu, Hao Liu	2025	database_pool	exclude	EC2		researcher
PCBSchemaGen: Constraint-Guided Schematic Design via LLM for Printed Circuit Boards (PCB)	Huanghaohe Zou, Peng Han, Emad Nazerian, Alex Q. Huang	2026	database_pool	exclude	EC1		researcher
Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	Valentin Tablan, Scott Taylor, Gabriel Hurtado, Kristoffer Bernhem, Anders Uhrenholt, Gabriele Farei, Karo Moilanen	2025	database_pool	include			researcher
DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery	Kun Li, Zhennan Wu, Shoupeng Wang, Jia Wu, Shirui Pan, Wenbin Hu	2025	database_pool	exclude	EC2		researcher
Meta-Policy Reflexion: Reusable Reflective Memory and Rule Admissibility for Resource-Efficient LLM Agent	Chunlong Wu, Ye Luo, Zhibo Qu, Min Wang	2025	database_pool	exclude	EC2		researcher
AutoCodeSherpa: Symbolic Explanations in AI Coding Agents	Sungmin Kang, Haifeng Ruan, Abhik Roychoudhury	2025	database_pool	exclude	EC1		researcher
CodeRAG-Bench: Can Retrieval Augment Code Generation?	Z. Wang, Akari Asai, Xinyan Velocity Yu, Frank F. Xu, Yiqing Xie, Graham Neubig, Daniel Fried	2024	database_pool	exclude	EC1		researcher
AgileCoder: Dynamic Collaborative Agents for Software Development based on Agile Methodology	Minh Huynh Nguyen, Thang Phan Chau, Phong X. Nguyen, Nghi D. Q. Bui	2024	database_pool	exclude	EC1		researcher
LLM Agents Implement an NLG System from Scratch: Building Interpretable Rule-Based RDF-to-Text Generators	Mateusz Lango, Ondřej Dušek	2025	database_pool	exclude	EC1		researcher
MultiQ&A: An Analysis in Measuring Robustness via Automated Crowdsourcing of Question Perturbations and Answers	Nicole Cho, William Watson	2025	database_pool	exclude	EC1		researcher
SWE-Spot: Building Small Repo-Experts with Repository-Centric Learning	Jinjun Peng, Magnus Saebo, Tianjun Zhong, Yi-Jie Cheng, Junfeng Yang, Baishakhi Ray, Simin Chen, Yangruibo Ding	2026	database_pool	exclude	validation_flag	Flagged for CI/EC validation during screening	researcher
World Models as an Intermediary between Agents and the Real World	Sherry Yang	2026	database_pool	exclude	EC4		researcher
Large Language Model based Multi-Agents: A Survey of Progress and Challenges	Taicheng Guo, Xiuying Chen, Yaqi Wang, Ruidi Chang, Shichao Pei, N. Chawla, Olaf Wiest, Xiangliang Zhang	2024	database_pool	exclude	EC4		researcher
Leveraging Adaptive Group Negotiation for Heterogeneous Multi-Robot Collaboration with Large Language Models	Siqi Song, Xuanbing Xie, Zonglin Li, Yuqiang Li, Shijie Wang, Biqing Qi	2025	database_pool	exclude	EC2		researcher
CP-Agent: Agentic Constraint Programming	Stefan Szeider	2025	database_pool	exclude	EC1		researcher
Search-Time Data Contamination	Ziwen Han, Meher Mankikar, Julian Michael, Zifan Wang	2025	database_pool	exclude	EC1		researcher
