branch	rank	scopus_id	eid	title	year	venue	doi	subtype	abstract
family_b_generic_agent_memory_se	1	SCOPUS_ID:105034615643	2-s2.0-105034615643	Self-improving multi-agent framework for zero-shot multimodal information extraction	2026	Expert Systems with Applications	10.1016/j.eswa.2026.132010	Article	
family_b_generic_agent_memory_se	2	SCOPUS_ID:105035619540	2-s2.0-105035619540	Context Engineering for Agentic Data Science	2026	Lecture Notes in Computer Science	10.1007/978-3-032-21321-1_29	Conference Paper	
family_b_generic_agent_memory_se	3	SCOPUS_ID:105013754802	2-s2.0-105013754802	GeoCogent: an LLM-based agent for geospatial code generation	2026	International Journal of Geographical Information Science	10.1080/13658816.2025.2549460	Article	
family_b_generic_agent_memory_se	4	SCOPUS_ID:105035586632	2-s2.0-105035586632	Perfecting AI Agent Frameworks through Unified Design Principles	2026	International Conference on Agents and Artificial Intelligence	10.5220/0014422300004052	Conference Paper	
family_b_generic_agent_memory_se	5	SCOPUS_ID:105035358855	2-s2.0-105035358855	AI as Game Designer: Achieving Optimal Level Balance Through LLM-Based System	2026	Lecture Notes in Computer Science	10.1007/978-981-95-7144-4_15	Conference Paper	
family_b_generic_agent_memory_se	6	SCOPUS_ID:105023430485	2-s2.0-105023430485	An Interactive Agentic HPC Tutor for Lesson Planning, Teaching, and Assessment	2025	Proceedings of 2025 Workshops of the International Conference on High Performance Computing Network Storage and Analysis Sc 2025 Workshops	10.1145/3731599.3767386	Conference Paper	
family_b_generic_agent_memory_se	7	SCOPUS_ID:105022976558	2-s2.0-105022976558	An LLM Framework for Inferring Household Energy Consumption Through Behaviour Simulation	2025	Buildsys 2025 Proceedings of the 2025 the 12th ACM International Conference on Systems for Energy Efficient Buildings Cities and Transportation	10.1145/3736425.3770093	Conference Paper	
family_b_generic_agent_memory_se	8	SCOPUS_ID:105012856499	2-s2.0-105012856499	Agents in software engineering: survey, landscape, and vision	2025	Automated Software Engineering	10.1007/s10515-025-00544-2	Article	
family_b_generic_agent_memory_se	9	SCOPUS_ID:105017008340	2-s2.0-105017008340	Toward efficient vibe coding: An LLM-based agent for low-code software development	2025	Journal of Computer Languages	10.1016/j.cola.2025.101367	Article	
family_b_generic_agent_memory_se	10	SCOPUS_ID:105013961463	2-s2.0-105013961463	ProphetAgent: Automatically Synthesizing GUI Tests from Test Cases in Natural Language for Mobile Apps	2025	Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering	10.1145/3696630.3728543	Conference Paper	
family_b_generic_agent_memory_se	11	SCOPUS_ID:105010337757	2-s2.0-105010337757	RepairAgent: An Autonomous, LLM-Based Agent for Program Repair	2025	Proceedings International Conference on Software Engineering	10.1109/ICSE55347.2025.00157	Conference Paper	
family_b_generic_agent_memory_se	12	SCOPUS_ID:105010280548	2-s2.0-105010280548	ENHANCING LANGUAGE MODEL AGENTS USING DIVERSITY OF THOUGHTS	2025	13th International Conference on Learning Representations Iclr 2025		Conference Paper	
family_b_generic_agent_memory_se	13	SCOPUS_ID:105023561704	2-s2.0-105023561704	REPOAUDIT: An Autonomous LLM-Agent for Repository-Level Code Auditing	2025	Proceedings of Machine Learning Research		Conference Paper	
family_b_generic_agent_memory_se	14	SCOPUS_ID:105015667382	2-s2.0-105015667382	ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation	2025	Proceedings 2025 IEEE International Conference on Llm Aided Design Iclad 2025	10.1109/ICLAD65226.2025.00033	Conference Paper	
